BestShot@59,Library
2488565068,2832111138
2563506079,2907638578
2627312652,2899707131
2603973903,3031512053
2899959165,2826521717
3139362953,3150719571
3015031095,3158389922
3072255485,3134498710
2842528040,2997756617
3360053294,3540475438
3670232371,3792947694
3225133585,4133841339
3569313888,4052757391
2923693284,3208242779
2856403186,2923832428
2806326467,2923402567
2882074300,2977117656
2937656555,3113866666
3107824425,3168197739
3065014561,3190528458
3196525026,3105651343
3149183335,3222746373
2858830434,3125291009
2949050640,3028554303
2985590043,3068436542
3195885064,3065327102
3047622140,3510478669
3560360010,3066094629
3776527631,3069443932
3133751674,3021748760
3292609757,3070866804
3086624696,3366335612
3080127834,3779893305
3217472992,3401847050
3212999450,3484241544
3023067877,3017710611
2740598443,3118959166
2868590781,2967967207
2898446854,2904944234
3512979651,3743373566
3302318471,3231599748
3382772608,3355102575
3036126143,3257950241
3137464278,3326692762
3194720807,3219225137
3563581441,2772310383
3571349520,2659950739
3738336082,2911465492
3899897740,3166723125
3690390679,3045125803
3552036220,2950060907
3469535436,2544938973
3160151688,2664326835
3275449108,2570399943
3733186371,2604444680
4149234064,3035343896
3821706884,2818835992
3850498609,2854043314
3833350464,2590877470
3609700378,2842502033
3039324624,3124606625
3260282578,3247949854
3198897674,3051109928
3444264096,3609738942
3409798549,3267507067
3408293049,3262212818
3184315618,2823909826
2949956165,2910277566
3040537762,2828024000
3017091477,2792500081
3751507728,3472397103
3499446453,3187295340
3635945094,3274446687
3278717246,3059118127
3433407145,3031732041
3442139037,2879556098
3220993182,2553552693
3293215277,2766431954
2775293212,2304972636
2975332665,2969835119
2941339668,2575304345
2802116442,2298446403
2943075017,2839943520
3245079075,2533317667
3270755853,3012278925
3395832629,2774822374
3578076953,2867394408
3501189714,2419388664
3776936354,2945577623
4055887497,3567655440
4122675638,3419550473
4018908535,3655256989
3808970909,3792738556
4164751038,3760347625
3711115125,3331889319
3342551947,2875103422
3396259024,2918236753
3349869063,2820382162
3278316702,2823406365
3376449897,3013074250
3450577202,2948347702
3698478744,3060132587
3886399877,3347272834
3505100500,3115597727
3592764876,3273017706
3144215831,3156380605
3252178356,3155853840
3653574195,2708524080
3717899311,2607568588
3974883196,2819100445
3892978900,2864322671
3730143450,3018529287
3658718102,2842435618
3511375348,2471364597
3324392798,2537439440
3287363470,2473238067
3819962624,2476040248
4321254236,2999631516
4035264835,2710081370
3964644769,2733883384
3892742457,2486026130
3738856280,2772003463
4371137790,3456285131
3881403896,3437165629
4295899123,3386441084
3738097951,3261862895
3496182581,2735507161
3520314224,2796606244
3618194949,2815452608
3574574098,2840349683
3566945961,3120709078
3668342469,2896916326
4141822459,2781691943
4305147503,3145156716
4139886509,2917494859
3994840755,3022426804
3841531054,2709040353
3658657507,2650252223
3852263156,4025412378
3382745650,3830027794
3990421257,3965035766
3558257541,3633006388
3217402736,3178929076
3154498188,3138089088
3359640212,3156458619
3608715069,3065822419
3260003011,2940990838
3520765947,3003993771
3620088337,2997661483
3687545322,3585371062
3582060501,3518439996
3347625477,3270044132
3066442088,3501505664
3043925136,3336535395
3674719559,3948039237
4055243558,3845739997
3659548077,3528064478
3258703051,3006747217
3313517050,2967425770
3451542405,2890677776
3569471851,2962474854
3253301159,2906805947
3557794001,2845478288
3756071120,2887553626
3780754363,3555359597
